Taxonomy	mock.1
Nitrobacter winogradskyi ATCC-14123	0.0370370370
Nitrosomonas europaea ATCC-19178	0.0370370370
Pseudomonas putida KT2440	0.0370370370
Gemmatimonas aurantiaca T-27	0.0370370370
Bacillus subtilis ATCC-6051	0.0370370370
Desulfovibrio vulgaris Hildenborough	0.0370370370
Clostridium acetobutylicum ATCC-824	0.0370370370
Microlunatus phosphovorus NM-1	0.0370370370
Anaerolinea thermophila UNI-1	0.0370370370
Treponema bryantii ATCC-33254	0.0370370370
Deinococcus grandis DSM-3963	0.0370370370
Bacteroides vulgatus ATCC-8482	0.0370370370
Escherichia coli DH5a	0.0370370370
Chloroflexus aurantiacus J-10-fl	0.0370370370
Desulfitobacterium hafniense DCB-2	0.0370370370
Escherichia coli strain ATCC-11775	0.2962962963
Bacteroides vulgatus strain JCM 5826	0.0370370370
Clostridium acetobutylicum strain ATCC 824	0.0370370370
Gemmatimonas aurantiaca strain T-27	0.0370370370
Treponema bryantii strain DSM 1788	0.0370370370
